"Biomass"	"Light"
"1.49068708777043"	"sun"
"1.3521266285892"	"sun"
"1.46287878244366"	"sun"
"1.5544199815635"	"sun"
"1.5976266740265"	"sun"
"1.58990160831806"	"sun"
"1.04431317149697"	"sun"
"0.932831210315736"	"sun"
"1.58660644297767"	"sun"
"1.66589273075479"	"sun"
"1.62350900554762"	"sun"
"1.3909352623294"	"sun"
"1.66454692939988"	"sun"
"1.09763142327039"	"sun"
"1.39068989599096"	"sun"
"1.34799241743822"	"sun"
"1.15246926822161"	"sun"
"1.16138156833649"	"sun"
"0.717627227308938"	"sun"
"1.70195770061439"	"sun"
"1.18418518660883"	"sun"
"1.10139914042305"	"sun"
"1.28155369440214"	"sun"
"1.54285026501809"	"sun"
"1.3767060142654"	"sun"
"1.00921800386903"	"sun"
"1.16173562869817"	"sun"
"1.29462379923887"	"sun"
"1.01230355122613"	"sun"
"1.0092052685475"	"sun"
"1.14288232926514"	"shade"
"0.984673644379648"	"shade"
"1.33314707768025"	"shade"
"1.39055628292989"	"shade"
"1.11760299074734"	"shade"
"1.20666646428294"	"shade"
"0.787793082277884"	"shade"
"1.03651766150438"	"shade"
"1.40410313285733"	"shade"
"1.19596882792919"	"shade"
"1.54405683586486"	"shade"
"1.22122173394661"	"shade"
"1.22223267809555"	"shade"
"0.815840118557656"	"shade"
"1.12680750851498"	"shade"
"1.12719766485567"	"shade"
"0.936569772216739"	"shade"
"0.516692533423202"	"shade"
"0.347273084389057"	"shade"
"1.51188799182685"	"shade"
"1.05560438283539"	"shade"
"0.871673641735519"	"shade"
"0.953537823838946"	"shade"
"1.24030607316711"	"shade"
"1.25090798181989"	"shade"
"0.518206130722387"	"shade"
"1.09441093768325"	"shade"
"1.08509717718863"	"shade"
"0.76110814865806"	"shade"
"0.734058156969293"	"shade"
