"Behaviour"	"Velocity"
"Foraging"	1.21194282089816
"Foraging"	1.46015369897875
"Foraging"	1.64014426310029
"Foraging"	1.98834381622727
"Foraging"	1.63535209099926
"Foraging"	1.72134729400441
"Foraging"	1.67167326267137
"Foraging"	1.35629498871532
"Foraging"	1.70931003180354
"Foraging"	1.5002427796107
"Foraging"	1.2622140171199
"Foraging"	1.48680499017347
"Foraging"	1.55943403982498
"Foraging"	1.80762794280693
"Foraging"	1.63072523923419
"Foraging"	1.58083108873488
"Foraging"	1.14883729505861
"Foraging"	1.37660155105713
"Foraging"	1.43904579041581
"Foraging"	1.42050516597606
"Foraging"	1.34200526024683
"Foraging"	1.56674926550097
"Foraging"	2.27420732884601
"Foraging"	1.14515887342385
"Foraging"	1.96430227608985
"Transiting"	1.55786315028372
"Transiting"	1.83356522991668
"Transiting"	1.96047823433116
"Transiting"	2.33678226975095
"Transiting"	1.99124749123574
"Transiting"	2.12229306432626
"Transiting"	2.06189555235243
"Transiting"	1.70091785772121
"Transiting"	2.09805178121213
"Transiting"	1.82757285720344
"Transiting"	1.5709277010351
"Transiting"	1.78658709842223
"Transiting"	1.84515456139472
"Transiting"	2.19395703322841
"Transiting"	1.9662190338723
"Transiting"	1.87282288749852
"Transiting"	1.50225244376551
"Transiting"	1.78029557041485
"Transiting"	1.80175194039641
"Transiting"	1.73752293054468
"Transiting"	1.75367757003567
"Transiting"	1.89759993579362
"Transiting"	2.67922332945629
"Transiting"	1.54704399240076
"Transiting"	2.26096344866825
