"Temp"	"Activity"
10	29.7229983329925
10	30.6306674125362
10	30.4796268116273
10	30.6439584896978
10	28.3196112104675
10	28.3498663999711
10	29.7929591130693
10	32.7150031294632
10	29.0017137095564
10	28.8880166402849
10	31.1766598808368
10	31.2996035706902
10	30.3707505517270
10	31.5486503270434
10	28.1874886472888
10	31.9261638287535
10	31.0604536379675
10	29.6361462884420
10	28.3567886483291
10	31.2440501901325
10	29.7324443320514
10	30.1516186959619
10	35.6746955681667
10	28.6008030551599
10	27.8667268463551
10	28.7623038716764
10	33.9920775364718
10	32.1549166634696
10	29.0176543180941
10	31.4264787071086
15	44.2260149339769
15	40.9924116775621
15	42.6293673538297
15	45.2786660617907
15	43.0094850911158
15	41.3208253744616
15	42.2918658006085
15	43.6372457720942
15	44.7651130280278
15	40.7219105912221
15	46.3213536824190
15	44.4074407172463
15	44.8699345524096
15	46.2853035996597
15	43.0378519565561
15	37.8137404155505
15	41.9144900635432
15	41.7137321633481
15	39.7660717945062
15	40.9325680326012
15	43.2912636315479
15	43.5199077527137
15	43.4792554173042
15	42.1511610392382
15	40.1492118596482
15	43.8857533619623
15	43.173798704834
15	42.2810559311478
15	41.7218209675157
15	45.5071530988355
20	31.6495588614905
20	34.2519077664465
20	36.3581860143392
20	32.5259302960504
20	33.6286003408367
20	36.9632245118958
20	34.5704083899617
20	35.1346547519689
20	33.4625860023603
20	34.4967972803932
20	32.6372814686054
20	35.1603861619950
20	37.1077445447944
20	35.1139621280537
20	34.0532199394897
20	35.2783524421078
20	32.9406376662318
20	33.6282182799286
20	36.3824812847004
20	35.2524904661787
20	36.6134421294036
20	34.9311137138283
20	34.9263385289903
20	34.9653056760469
20	38.4365053116672
20	34.7593837059156
20	36.4272428696874
20	34.2774678738388
20	34.7622351580264
20	34.6329194942427
