Country	Height
SA	3.056102955
SA	3.383201266
SA	3.626069718
SA	3.14115646
SA	3.423114066
SA	3.149444782
SA	3.095679847
SA	3.138423335
SA	3.809316627
SA	3.295850492
SA	3.681694799
SA	3.901981493
SA	3.381984581
SA	3.778163123
SA	3.427974298
SA	3.30423303
SA	3.564465436
SA	3.180528392
SA	3.505105569
SA	3.457804336
SA	3.291816229
SA	3.756651417
SA	3.652460825
SA	3.308467446
SA	3.719441999
SA	3.494799924
SA	3.200244195
SA	3.404740686
SA	3.716644875
SA	3.514768863
K	4.267893505
K	4.019008766
K	3.833498676
K	3.398473122
K	3.683471059
K	3.612578712
K	3.557083097
K	4.062983275
K	4.195159962
K	3.780163225
K	3.952598471
K	3.839085681
K	3.437470925
K	4.027551018
K	3.553459131
K	3.792742718
K	4.020977314
K	3.541460585
K	3.540751321
K	3.583199233
K	3.784230788
K	3.706829785
K	3.92160612
K	3.712507218
K	4.124136042
K	4.03839905
K	3.93674383
K	3.843891971
K	3.818614981
K	3.916691474
