"Temp"	"Activity"
15	63.478159148683
15	46.381151116241
15	59.2826998222557
15	61.4460942307316
15	53.0358568161256
15	59.4838028059551
15	62.9273966915251
15	46.2913443288001
15	53.4431401179051
15	51.8616188761356
15	54.6728249688912
15	55.5930830144608
15	59.3884825098880
15	56.4161149796359
15	57.2025594415981
15	53.2759804348814
15	54.6441180590036
15	55.2586349882885
15	59.7789952526699
15	48.9092378616832
15	52.8435751582126
15	60.9204650095944
15	59.5576714038755
15	57.3490014648507
15	46.2978944083133
15	50.8563091978047
15	42.9993906659904
15	53.3207174413447
15	54.3195402990063
15	56.7482036705035
20	61.179536564423
20	54.8926315878086
20	66.5676926356044
20	62.6688983360081
20	55.5253736873139
20	63.5633539012877
20	65.3548559461654
20	48.6047287540112
20	60.979711193403
20	52.4615771058067
20	60.1138670014558
20	56.9294398251157
20	63.3614280463464
20	56.5271024447847
20	61.343024349332
20	55.599473273206
20	56.2870703366655
20	60.9566294703395
20	59.1763214121758
20	51.6387680144196
20	57.528545013518
20	66.1439708171508
20	60.6055429557941
20	63.489426439849
20	50.7189671865081
20	54.2106297398307
20	47.8844427273267
20	57.7869172080691
20	62.2731088797689
20	63.215756668682
