"Temp"	"CO_2"	"Activity"
10	300	114.645803921001
10	300	114.845094446810
10	300	104.441886486799
10	300	105.210450038666
10	300	109.885068446606
10	300	120.838130707496
10	300	114.002093583616
10	300	108.143732705583
10	300	119.431610648801
10	300	108.650196275986
10	300	112.803879800087
10	300	105.621642096606
10	300	104.973735261860
10	300	103.496094698893
10	300	101.147512188615
10	300	116.340624059414
10	300	114.049713145497
10	300	109.464241103687
10	300	108.772068716598
10	300	106.066363470169
10	300	110.083989030413
10	300	108.342550632883
10	300	115.707747815609
10	300	105.621969719908
10	300	117.314552321711
10	300	104.788323221543
10	300	112.010151632688
10	300	111.679917926929
10	300	102.734884768868
10	300	112.186676493860
15	300	157.574236751974
15	300	164.544160548930
15	300	162.921051815605
15	300	161.379625665341
15	300	167.470794091321
15	300	158.659606233874
15	300	169.414961597464
15	300	158.416251115618
15	300	154.337271651987
15	300	169.058564623935
15	300	173.471013861711
15	300	153.914771393509
15	300	167.224232985142
15	300	160.521503046174
15	300	169.153732742662
15	300	165.435781304722
15	300	161.072930131862
15	300	167.184452663853
15	300	169.131423223221
15	300	183.219880587483
15	300	164.214502513855
15	300	165.825901745077
15	300	175.926944301435
15	300	166.148622790045
15	300	155.276481578799
15	300	171.842044917707
15	300	161.808221661366
15	300	163.226750859972
15	300	167.610928033206
15	300	161.504889594327
20	300	207.146387584234
20	300	212.364264513631
20	300	219.041622359586
20	300	216.834672721324
20	300	216.826116053223
20	300	222.070819197249
20	300	207.344342140886
20	300	221.241495772399
20	300	213.824219204806
20	300	209.972206211958
20	300	215.424331362855
20	300	215.190468968988
20	300	208.683177720575
20	300	215.586821301752
20	300	216.611450430514
20	300	215.232107192960
20	300	213.942459465093
20	300	227.714405407283
20	300	214.643767041463
20	300	215.276104315027
20	300	219.290063602832
20	300	207.740423622213
20	300	226.672542337800
20	300	216.562300352334
20	300	223.219423542207
20	300	215.876108322215
20	300	210.995473912618
20	300	212.00927342041
20	300	210.841336777286
20	300	227.402858938494
10	600	215.412983747909
10	600	217.507348727924
10	600	223.923762734233
10	600	227.902325924298
10	600	218.681844034318
10	600	216.351439773822
10	600	212.807320677123
10	600	230.507272522262
10	600	229.030340242004
10	600	219.153060130035
10	600	209.135380124143
10	600	219.576182051976
10	600	223.504941120574
10	600	219.864170110388
10	600	212.852852282145
10	600	226.703367302781
10	600	215.368692938784
10	600	222.409904283955
10	600	215.175172370593
10	600	225.428436227207
10	600	226.330575693666
10	600	231.253356878617
10	600	224.766337037579
10	600	217.332342993463
10	600	224.957914009573
10	600	233.226268754849
10	600	219.509018457817
10	600	227.655935619007
10	600	218.917808455638
10	600	214.875822053586
15	600	321.574199030896
15	600	309.462654079262
15	600	333.104413340080
15	600	328.967471554447
15	600	326.834152265783
15	600	314.638703142432
15	600	324.0753049695
15	600	324.828821835684
15	600	321.85072345036
15	600	313.67106998404
15	600	326.601004108346
15	600	319.74862510486
15	600	325.298399188323
15	600	317.376515618833
15	600	326.919119428535
15	600	325.271494615838
15	600	323.197864817559
15	600	319.752137311697
15	600	322.299143290069
15	600	329.481430412772
15	600	335.368232793407
15	600	313.573085986142
15	600	329.335182877468
15	600	325.075608706682
15	600	338.458356208461
15	600	324.717429211661
15	600	320.179715179898
15	600	316.539870960047
15	600	327.729274442131
15	600	320.140205739767
20	600	416.643977173495
20	600	424.896007497221
20	600	426.843720552216
20	600	416.313725836913
20	600	427.805452764877
20	600	440.835845714058
20	600	429.049588757953
20	600	431.690313096109
20	600	422.854019635686
20	600	418.913243374851
20	600	436.216022095043
20	600	428.423373448750
20	600	421.332942134079
20	600	433.222396171107
20	600	436.517667674969
20	600	434.972089338369
20	600	431.805583471148
20	600	418.368967180747
20	600	426.004646565075
20	600	432.287284512432
20	600	424.665714330589
20	600	435.956042775969
20	600	428.912087855787
20	600	430.771307462347
20	600	439.385061237442
20	600	432.016755774999
20	600	431.043323883246
20	600	433.187523291477
20	600	427.910193000056
20	600	435.081279214188
